CLAVE_CASILLA;TOTAL_BOLETAS_SOBRANTES;TOTAL_PERSONAS_VOTARON;TOTAL_REP_PARTIDO_CI_VOTARON;TOTAL_VOTOS_SACADOS;PAN;PRI;PRD;PVEM;PT;UDC;MORENA;C_PAN_PRI_PRD;C_PAN_PRI;C_PAN_PRD;C_PRI_PRD;C_PVEM_UDC;NO_REGISTRADAS;NULOS;TOTAL_VOTOS_ASENTADO;TOTAL_VOTOS_CALCULADO;LISTA_NOMINAL;REPRESENTANTES_PP_CI
'050000M0000;N/A;N/A;N/A;N/A;199;171;10;11;171;22;367;50;10;0;1;10;5;8;1035;1035;22818;N/A
'050000A0100;N/A;71;N/A;71;9;36;0;0;6;2;14;0;0;1;0;0;0;3;71;71;79;N/A
'050000P0100;N/A;12;N/A;12;0;2;0;0;2;0;8;0;0;0;0;0;0;0;12;12;12;N/A
'050001B0100;156;280;4;284;8;192;0;0;18;2;58;2;0;0;0;0;0;4;284;284;424;16
'050001C0100;162;275;2;277;28;175;1;3;17;2;47;0;0;0;0;0;0;4;277;277;423;16
'050002B0100;250;202;0;202;8;93;0;0;19;0;75;0;0;0;0;0;0;5;202;200;436;16
'050003B0100;329;319;4;0;7;139;7;10;13;66;66;2;2;0;0;4;0;7;323;323;632;16
'050003C0100;303;342;3;345;6;146;5;6;31;64;61;3;2;0;2;8;1;10;345;345;632;16
'050003C0200;313;332;1;333;9;141;8;5;15;69;64;5;1;0;0;2;0;14;333;333;631;16
'050003C0300;0;0;0;0;6;135;9;6;15;82;61;4;1;0;0;6;0;15;340;340;631;16
'050004B0100;330;381;1;382;5;168;7;7;23;96;48;3;0;0;1;10;0;14;382;382;701;16
'050004C0100;330;379;6;0;7;168;13;8;25;94;44;4;3;0;1;1;0;19;387;387;701;16
'050004C0200;336;377;3;381;15;168;5;16;21;82;59;;;;;;;15;381;381;701;16
'050004C0300;343;374;0;0;3;149;9;7;18;107;53;2;1;0;3;9;0;13;374;374;701;16
'050004C0400;323;390;4;394;8;165;8;4;30;89;66;4;1;0;1;6;0;12;394;394;701;16
'050004C0500;316;397;4;3;10;163;10;11;32;104;49;5;;;;7;;10;401;401;701;16
'050004C0600;342;372;3;375;8;173;5;11;27;79;45;2;1;0;1;4;0;19;375;375;701;16
'050004C0700;329;384;3;387;3;183;6;8;22;88;49;4;1;0;1;8;0;14;387;387;700;16
'050005B0100;301;278;3;0;10;85;6;9;17;74;61;4;1;0;1;9;0;4;281;281;566;16
'050005C0100;261;314;6;0;7;111;8;8;20;83;60;9;2;0;1;5;0;12;321;326;566;16
'050005C0200;284;294;3;0;7;110;6;6;30;70;53;2;2;0;1;7;0;5;296;299;565;16
'050006B0100;215;209;5;214;13;105;2;3;20;33;28;2;0;0;0;1;0;7;214;214;413;16
'050006C0100;226;198;5;203;2;100;1;11;7;42;23;5;1;0;0;7;0;4;203;203;413;16
'050007B0100;380;287;6;293;15;132;6;6;23;60;37;3;2;1;0;5;0;3;293;293;657;16
'050007C0100;378;292;3;295;19;138;4;7;20;49;37;4;4;0;0;5;8;SIN DATO;295;295;657;16
'050008B0100;357;322;4;326;7;150;10;9;30;64;39;5;0;0;0;5;0;7;326;326;667;16
'050008C0100;371;307;6;312;9;128;10;10;21;79;36;3;4;0;1;3;1;7;312;312;666;16
'050011B0100;336;339;5;345;9;168;6;8;27;60;50;1;3;SIN DATO;1;6;SIN DATO;6;345;345;665;16
'050011C0100;332;328;7;333;9;131;8;9;25;82;55;3;0;0;0;1;0;10;333;333;650;16
'050011C0200;377;285;4;0;4;117;3;9;19;60;48;3;2;0;1;8;0;11;289;285;650;16
